laptop_id,name,price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,usage,range,ram_id,storage_id
0,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
1,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
2,ASUS TUF Gaming F15 Core i5 10th Gen,49990.0,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.4,4733.0,463.0,1,2,8,512
3,ASUS VivoBook 15 (2022) Core i3 10th Gen,33990.0,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,10406.0,1040.0,1,2,8,512
4,Lenovo Athlon Dual Core,18990.0,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,DOS Operating System,256 GB SSD,14.0,3.8,18.0,3.0,4,3,4,256
5,APPLE 2020 Macbook Air M1,86990.0,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,13.3,4.7,8865.0,795.0,3,3,8,256
6,ASUS VivoBook 14 (2021) Celeron Dual Core,23990.0,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14.0,4.1,790.0,95.0,4,3,4,256
8,Lenovo V15 G2 Core i3 11th Gen,33999.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.0,112.0,8.0,1,2,8,512
9,RedmiBook Pro Core i5 11th Gen,38990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.1,3955.0,462.0,1,2,8,512
10,acer Aspire 3 Ryzen 3 Dual Core 3250U,26990.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,15.6,4.2,381.0,76.0,2,3,8,256
11,ASUS Vivobook 14 (2022) Core i5 12th Gen,66990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,5.0,4.0,0.0,1,2,16,512
12,ASUS Vivobook 15 Core i3 11th Gen,37990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,257.0,26.0,1,2,8,512
13,ASUS Core i7 11th Gen,56990.0,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.1,137.0,18.0,1,2,16,512
14,DELL Vostro Core i3 11th Gen,39990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.1,143.0,11.0,1,2,8,1000
15,realme Book (Slim) Core i3 11th Gen,46990.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,14.0,4.4,12584.0,1870.0,1,2,8,256
